id,question,answer,wrong1,wrong2,wrong3,source,difficulty
1,Arctic regions are home to which of these animals?,Polar bear,Indian elephant,Bengal tiger,Mountain lion,au,1
2,A particularly easy target is said to be a duck that's doing what?,Sitting,Sewing,Surfing,Swimming,au,1
3,How many hours are there in a day?,24,12,18,30,au,1
4,Which of these countries lies in the Southern Hemisphere?,Australia,Canada,Norway,Japan,au,1
5,What kind of geographical feature is Everest?,Mountain,River,Sea,Desert,au,1
6,A device common in computers is the hard what?,Drive,Core,Hat,Rock,au,1
7,Which of these animals has webbed feet?,Duck,Horse,Cat,Elephant,au,1
8,Traditionally cut by the bride and bridegroom at a wedding reception is the wedding what?,Cake,Dress,Ring,Invitation,au,1
9,A casino is a place for principally what activity?,Gambling,Studying,Praying,Cooking,au,1
10,A standard egg carton can hold how many eggs?,12,8,10,14,au,1
11,Which of these is a stringed instrument?,Guitar,Saxophone,Trumpet,Drum,au,1
12,Which animal stores food in the form of a hump on its back?,Camel,Horse,Lion,Dog,au,1
13,A VIP is a 'very what person'?,Important,Imperfect,Impolite,Impatient,au,1
14,To foretell future events a fortune-teller looks into a what ball?,Crystal,Soccer,Moth,Golf,au,1
15,What is the part of a pair of trousers where the two legs join?,Crotch,Waistband,Pocket,Cuff,au,1
16,The British national anthem is 'God Save the what'?,Queen,Country,Prince,Monarchy,au,1
17,The sun sets in which general direction?,West,North,South,East,au,1
18,What do we call the day before today?,Yesterday,Yesteryear,Yesterweek,Tomorrow,au,1
19,Chess is a game for normally how many players?,2,3,4,5,au,1
20,Rome is the capital of which country?,Italy,Germany,Russia,UK,au,1
21,What kind of animal is the famous film character King Kong?,Gorilla,Elephant,Dog,Kangaroo,au,1
22,Literature's most famous whale is Moby who?,Dick,Rick,Mick,Nick,au,1
23,A famous Paris landmark is the Eiffel what?,Tower,Bridge,Square,Palace,au,1
24,What is the sound a cow makes?,Moo,Baa,Woof,Tweet,au,1
25,Which branch of knowledge deals with past events?,History,Chemistry,Biology,Astronomy,au,1
26,"Founded by the Romans, what is the capital city of Great Britain?",London,Birmingham,Edinburgh,Manchester,au,1
27,Which of these animals is a type of ape?,Chimpanzee,Chipmunk,Chihuahua,Chicken,au,1
28,Which activity requires the use of a needle?,Sewing,Fishing,Gardening,Painting,au,1
29,Which part of the body is also an imperial unit of length equal to 12 inches?,Foot,Arm,Hand,Leg,au,1
30,The cross is a symbol of which major religion?,Christianity,Buddhism,Hinduism,Islam,au,1
